date,open,hiht,low,close,adjusted close,volume,dividend amount,split coefficient,high
2022-11-10,140.26,,138.29,141.23,141.23,5389025,0.0,1.0,141.37
2022-11-09,137.95,,136.94,137.39,137.39,4720007,1.65,1.0,138.9
2022-11-08,139.0,,138.72,140.04,138.378132911392,5042756,0.0,1.0,140.93
2022-11-07,136.64,,136.51,138.34,136.698306962025,4043062,0.0,1.0,138.7
2022-11-04,135.65,,134.94,136.96,135.334683544304,4177972,0.0,1.0,137.73
2022-11-03,136.42,,133.97,134.47,132.874232594937,4442443,0.0,1.0,136.48
2022-11-02,137.75,,136.8,136.83,135.206226265823,5365264,0.0,1.0,140.17
2022-11-01,138.25,,136.7,138.2,136.55996835443,3590607,0.0,1.0,138.65
2022-10-31,138.06,,136.595,138.29,136.648900316456,4915270,0.0,1.0,138.7699
2022-10-28,135.56,,135.22,138.51,136.866289556962,5965457,0.0,1.0,138.8615
2022-10-27,135.55,,134.445,134.77,133.170672468354,3993168,0.0,1.0,136.4
2022-10-26,133.72,,132.81,135.01,133.407824367089,5140023,0.0,1.0,135.863
2022-10-25,132.0,,131.3,132.93,131.352507911392,5957623,0.0,1.0,133.3
2022-10-24,130.9,,129.85,132.69,131.115356012658,5610914,0.0,1.0,133.11
2022-10-21,128.39,,127.59,129.9,128.358465189873,7201256,0.0,1.0,130.845
2022-10-20,126.25,,125.15,128.3,126.777452531646,13623115,0.0,1.0,128.96
2022-10-19,122.36,,121.9875,122.51,121.056162974684,5906576,0.0,1.0,123.94
2022-10-18,123.0,,121.82,122.94,121.481060126582,5120336,0.0,1.0,123.94
2022-10-17,121.8,,121.43,121.52,120.077911392405,5458585,0.0,1.0,122.875
2022-10-14,121.8,,119.84,120.04,118.615474683544,3763840,0.0,1.0,122.54
2022-10-13,116.1,,115.545,121.79,120.344707278481,5837645,0.0,1.0,122.15
2022-10-12,118.0,,117.2,117.57,116.174786392405,3338754,0.0,1.0,118.81
2022-10-11,117.46,,116.94,117.8,116.402056962025,4043265,0.0,1.0,119.23
2022-10-10,119.79,,117.04,117.75,116.352650316456,5990008,0.0,1.0,119.96
2022-10-07,121.5,,118.07,118.82,117.409952531646,4499672,0.0,1.0,121.8016
2022-10-06,124.88,,121.77,122.23,120.779485759494,5074624,0.0,1.0,125.3
2022-10-05,124.71,,124.23,125.74,124.247832278481,3212872,0.0,1.0,126.46
2022-10-04,122.8,,122.52,125.5,124.010680379747,4566055,0.0,1.0,125.65
2022-10-03,120.16,,119.6,121.51,120.068030063291,4261729,0.0,1.0,122.21
2022-09-30,121.66,,118.61,118.81,117.400071202532,5346108,0.0,1.0,122.43
2022-09-29,121.85,,120.57,121.63,120.186606012658,3817723,0.0,1.0,122.62
2022-09-28,121.65,,119.81,122.76,121.303196202532,4996378,0.0,1.0,123.23
2022-09-27,122.6,,121.08,121.74,120.295300632911,4117215,0.0,1.0,123.95
2022-09-26,122.3,,121.75,122.01,120.562096518987,3987817,0.0,1.0,124.26
2022-09-23,124.53,,121.74,122.71,121.253789556962,5195693,0.0,1.0,125.0
2022-09-22,124.76,,124.41,125.31,123.822935126582,4038335,0.0,1.0,126.51
2022-09-21,126.89,,124.92,124.93,123.447444620253,3389545,0.0,1.0,127.84
2022-09-20,126.9,,125.52,126.3,124.801186708861,2837485,0.0,1.0,126.99
2022-09-19,126.49,,126.28,127.73,126.214216772152,3981606,0.0,1.0,128.06
2022-09-16,124.36,,123.83,127.27,125.759675632911,9839696,0.0,1.0,127.53
2022-09-15,127.39,,124.9,125.49,124.000799050633,5141671,0.0,1.0,127.465
2022-09-14,127.5,,126.845,127.69,126.174691455696,3819067,0.0,1.0,129.0
2022-09-13,129.14,,126.7709,127.25,125.739912974684,4565585,0.0,1.0,129.909
2022-09-12,130.33,,129.89,130.66,129.109446202532,3741168,0.0,1.0,130.99
2022-09-09,128.9,,128.06,129.19,127.656890822785,3293365,0.0,1.0,129.49
2022-09-08,127.2,,126.59,128.47,126.945435126582,2964613,0.0,1.0,128.54
2022-09-07,126.69,,126.28,127.71,126.194454113924,2401513,0.0,1.0,127.8667
2022-09-06,127.8,,126.3,126.72,125.216202531646,3345343,0.0,1.0,128.06
2022-09-02,130.3,,127.24,127.79,126.273504746835,3040813,0.0,1.0,130.56
2022-09-01,128.4,,127.74,129.66,128.121313291139,3396219,0.0,1.0,129.8173
2022-08-31,129.92,,128.4,128.45,126.925672468354,3490380,0.0,1.0,130.0
2022-08-30,130.56,,129.29,129.58,128.042262658228,2407888,0.0,1.0,130.77
2022-08-29,129.99,,129.57,130.31,128.763599683544,2751308,0.0,1.0,131.42
2022-08-26,134.1,,130.34,130.38,128.832768987342,4185254,0.0,1.0,134.18
2022-08-25,133.65,,133.07,133.98,132.390047468354,2706005,0.0,1.0,134.425
2022-08-24,134.89,,133.11,133.23,131.64894778481,2855421,0.0,1.0,135.11
2022-08-23,135.37,,134.72,134.74,133.141028481013,4141798,0.0,1.0,136.1
2022-08-22,137.65,,135.47,135.55,133.941416139241,3093629,0.0,1.0,137.85
2022-08-19,138.75,,137.66,138.37,136.727950949367,3155842,0.0,1.0,139.34
2022-08-18,137.79,,137.75,139.07,137.419643987342,3177726,0.0,1.0,139.12
2022-08-17,136.46,,136.3,137.79,136.154833860759,3667568,0.0,1.0,138.415
2022-08-16,134.6,,134.4517,136.56,134.939430379747,4313600,0.0,1.0,137.37
2022-08-15,132.96,,132.24,134.93,133.328773734177,2791241,0.0,1.0,135.19
